"country","Obligations","Disbursements"
"Iraq","1168046665","870864045"
"Jordan","1160707454","855797589"
"Syria","819370142","694289264"
"Ethiopia","806906269","815354692"
"Afghanistan","760166827","809574000"
"South Sudan","749526003","752507590"
"Nigeria","739495534","717924704"
"DR Congo","672058880","437972619"
"Yemen","633595421","551541084"
"Kenya","591363410","613600073"
"Lebanon","590675921","257684065"
"Niger","573039180","157482768"
"Bangladesh","520157106","311774612"
"Uganda","482710209","433580833"
"Somalia","461826653","406406660"
"Tanzania","422349774","422655768"
"South Africa","393438183","362676188"
"Pakistan","370369243","438372388"
"Colombia","265898532","198080252"
"Sudan","260774667","223872683"
"Ukraine","247302025","231717660"
"Mozambique","220402206","300798980"
"Mali","215900987","197368773"
"Egypt","214345091","148895026"
"Malawi","212419199","327724666"
"Haiti","207609771","265832167"
"Zimbabwe","201357343","169328643"
"Senegal","180356627","156332969"
"Zambia","180079608","331350082"
"Rwanda","176564563","123084897"
"Myanmar","172184269","139380447"
"Russia","159419445","159332910"
"Turkey","159266923","55201236"
"Philippines","149206611","137397686"
"Guatemala","148850158","169418900"
"Ghana","141305019","185705824"
"Nepal","134570611","156918707"
"Ivory Coast","126476227","62756709"
"Micronesia","119007019","64220747"
"Tunisia","118658878","36169126"
"Chad","113084197","79153451"
"Honduras","111544501","125190266"
"Madagascar","109914101","95483280"
"Cameroon","105916492","67093671"
"Libya","104374941","46186174"
"Cambodia","100301210","68232160"
"Burkina Faso","92121351","58450740"
"Central African Republic","90714571","64952452"
"El Salvador","88232693","110188461"
"Liberia","86347999","217382277"
"India","85115324","110415909"
"Marshall Islands","84381201","41869365"
"Vietnam","83124794","77710547"
"Peru","82784564","55886992"
"Georgia","77774479","102043207"
"Palau","69082147","68108665"
"Burundi","68838639","47406071"
"Mexico","68584149","62908928"
"Bosnia and Herzegovina","63058630","39991528"
"Indonesia","54330516","291580253"
"Morocco","53112978","61933071"
"Dominican Republic","47047357","50771670"
"Guinea","44690174","57405930"
"Kyrgyzstan","44213769","45086315"
"Eswatini","43156820","38199764"
"Lesotho","42727564","53073622"
"Sri Lanka","42525423","30641819"
"Tajikistan","40468343","30395464"
"Mongolia","38932847","15670107"
"Sierra Leone","38424224","56333049"
"Angola","38238340","40590195"
"Thailand","37971378","34702940"
"Moldova","35082116","34696353"
"Benin","32577079","53316369"
"Nicaragua","30264962","27168857"
"Laos","29563491","8145350"
"Namibia","29377905","34445464"
"Jamaica","29253738","36363583"
"Botswana","27386711","21519887"
"Canada","26085775","-21783893"
"China","25744928","32502467"
"Armenia","25592278","26904111"
"Venezuela","25013905","15085143"
"Ecuador","24844409","16711814"
"Uzbekistan","23822994","10663764"
"Timor-Leste","22914910","20648223"
"Brazil","21310317","24469627"
"Mauritania","18557514","14145684"
"Serbia","18274589","18441180"
"Kazakhstan","17029493","17459151"
"Paraguay","15959090","18890172"
"Costa Rica","15690468","9664807"
"Albania","15502024","16289583"
"Republic of the Congo","15078226","2663863"
"Djibouti","14796394","10956037"
"Azerbaijan","13969932","12283473"
"Cuba","11895779","12294318"
"Israel","10774353","11030354"
"Malaysia","10727575","8731577"
"Belarus","10186536","8272220"
"Panama","9787168","10774093"
"Dominica","9481167","5079729"
"Gabon","8480413","866086"
"Algeria","8363683","2245392"
"Austria","6213388","2235000"
"Argentina","5023386","3649838"
"Turkmenistan","4543774","3551379"
"Papua New Guinea","4353723","8402722"
"Togo","3861084","2991122"
"Guyana","3604438","3610207"
"Poland","3207964","3206911"
"Kuwait","3071686","4019600"
"Vanuatu","2816440","3500390"
"Czech Republic","2716050","53731"
"Belize","2697305","3920870"
"North Korea","2581439","3579400"
"Trinidad and Tobago","2523337","119608"
"Gambia","2436311","13143091"
"Fiji","1955119","2313679"
"Bolivia","1786980","1040318"
"Eritrea","1544006","752006"
"Samoa","1330433","1862051"
"Hungary","1316489","1091281"
"Greece","1264589","404305"
"Comoros","1228190","1148659"
"Tonga","1182029","1333023"
"Montenegro","1039152","685480"
"Iran","917676","5476406"
"Ireland","750000","740129"
"Oman","628802","-22957"
"Hong Kong","564000","699000"
"Chile","558102","2645723"
"Solomon Islands","524998","764229"
"South Korea","517754","631933"
"Cape Verde","475518","10088599"
"Slovenia","314528","14528"
"Suriname","297978",""
"Guinea-Bissau","258508","388765"
"Mauritius","250000","214233"
"Taiwan","200000","174756"
"Latvia","196465","408565"
"Uruguay","175179","95438"
"Equatorial Guinea","171014","1124617"
"Saint Kitts and Nevis","162566","51867"
"Japan","145220","140220"
"Portugal","138806","52454"
"United Arab Emirates","116128","116812"
"Spain","103753","354185"
"Saint Lucia","99988",""
"Bahamas","91169","281262"
"Netherlands","49215","214313"
"Barbados","46950","80009"
"Singapore","40500","441132"
"Malta","36463","18963"
"Bhutan","31848","167340"
"Italy","25696","3943"
"Croatia","25000","212255"
"Estonia","24997","24997"
"Sao Tome and Principe","24748","-24748"
"Saudi Arabia","17899","58257"
"Bulgaria","13599","1187899"
"Romania","7886","1425086"
"Belgium","6000","6000"
"Grenada","1320","1320"
"Antigua and Barbuda","0","-83614"
"Bahrain","0","446567"
"Lithuania","0","6289"
"Slovakia","0","503917"
"Australia","0","94"
"Maldives","-80","5662"
"Qatar","-1601","8344"
"Cyprus","-98430","79173"